Timestamp (ms),Left Eye Center X,Left Eye Center Y,Right Eye Center X,Right Eye Center Y,Left Iris Relative Pos Dx,Left Iris Relative Pos Dy,Right Iris Relative Pos Dx,Right Iris Relative Pos Dy,Total Blink Count,Pitch,Yaw,Roll
1744787281577,121.0,118.5,34.0,120.5,95,-1,-74,-2,0,0.0,0.0,0.0
1744787281577,121.0,118.5,34.0,120.5,95,-1,-74,-2,0,0.0,0.0,0.0
1744787281597,139.5,126.5,55.5,127.0,96,0,-71,-3,0,-0.9227875785038293,-0.13637593428106953,-0.14212961342339447
1744787281597,139.5,126.5,55.5,127.0,96,0,-71,-3,0,-0.9227875785038293,-0.13637593428106953,-0.14212961342339447
1744787281613,155.0,136.0,73.5,134.5,95,2,-70,-5,0,-1.2440890759420995,-0.4415496461027608,0.27193334901735655
1744787281613,155.0,136.0,73.5,134.5,95,2,-70,-5,0,-1.2440890759420995,-0.4415496461027608,0.27193334901735655
1744787281645,172.5,145.0,92.5,143.5,94,2,-64,-5,0,-1.1746944258267575,-0.2779005856919028,0.6449140061635317
1744787281645,172.5,145.0,92.5,143.5,94,2,-64,-5,0,-1.1746944258267575,-0.2779005856919028,0.6449140061635317
1744787281684,190.5,156.0,110.5,153.5,93,4,-65,-6,0,-0.8326069657436719,-1.48086937088312,0.9595776440100301
1744787281684,190.5,156.0,110.5,153.5,93,4,-65,-6,0,-0.8326069657436719,-1.48086937088312,0.9595776440100301
1744787281714,208.5,167.5,130.0,163.5,91,5,-65,-7,0,-0.06631605999992018,-3.2119707419980443,1.211524747637035
1744787281714,208.5,167.5,130.0,163.5,91,5,-65,-7,0,-0.06631605999992018,-3.2119707419980443,1.211524747637035
1744787281745,225.5,177.5,147.5,173.5,91,5,-64,-7,0,0.26761675618024583,-3.951789119242786,1.4393143393622525
1744787281745,225.5,177.5,147.5,173.5,91,5,-64,-7,0,0.26761675618024583,-3.951789119242786,1.4393143393622525
1744787281784,242.0,187.5,165.0,183.0,91,6,-61,-6,0,0.25600046786263775,-4.750068505784185,1.6790546322282607
1744787281784,242.0,187.5,165.0,183.0,91,6,-61,-6,0,0.25600046786263775,-4.750068505784185,1.6790546322282607
1744787281820,257.5,196.0,180.0,192.0,93,7,-61,-6,0,0.10277057908393061,-5.001965784931535,1.9624140532702632
1744787281820,257.5,196.0,180.0,192.0,93,7,-61,-6,0,0.10277057908393061,-5.001965784931535,1.9624140532702632
1744787281850,271.5,204.0,192.5,199.0,93,8,-60,-7,0,-0.3912036832768031,-5.020908463910942,2.3105367360288365
1744787281850,271.5,204.0,192.5,199.0,93,8,-60,-7,0,-0.3912036832768031,-5.020908463910942,2.3105367360288365
1744787281882,281.5,210.5,207.0,205.0,91,8,-56,-7,0,-0.9852190207481364,-5.403597312848763,2.9109933024265606
1744787281882,281.5,210.5,207.0,205.0,91,8,-56,-7,0,-0.9852190207481364,-5.403597312848763,2.9109933024265606
1744787281918,291.0,215.0,218.0,209.0,92,8,-58,-8,0,-1.5231582359755933,-5.718539122544662,3.4780956595574355
1744787281918,291.0,215.0,218.0,209.0,92,8,-58,-8,0,-1.5231582359755933,-5.718539122544662,3.4780956595574355
1744787281949,298.5,217.0,224.0,211.5,92,8,-56,-9,0,-1.9149106160092835,-5.829635864489955,3.9598417182610146
1744787281949,298.5,217.0,224.0,211.5,92,8,-56,-9,0,-1.9149106160092835,-5.829635864489955,3.9598417182610146
1744787281982,304.0,218.0,230.5,212.0,90,8,-58,-8,0,-2.2570412130663584,-6.427987458408985,4.3034604055115215
1744787281982,304.0,218.0,230.5,212.0,90,8,-58,-8,0,-2.2570412130663584,-6.427987458408985,4.3034604055115215
1744787282017,308.0,218.5,235.5,212.0,88,7,-58,-9,0,-2.7359126741296613,-6.514034239576848,4.647809402308426
1744787282017,308.0,218.5,235.5,212.0,88,7,-58,-9,0,-2.7359126741296613,-6.514034239576848,4.647809402308426
1744787282053,310.0,219.5,237.5,213.0,88,8,-58,-10,0,-3.704234140950497,-5.899108727308107,5.021242736383982
1744787282053,310.0,219.5,237.5,213.0,88,8,-58,-10,0,-3.704234140950497,-5.899108727308107,5.021242736383982
1744787282094,309.0,220.5,237.0,214.0,87,7,-58,-10,0,-4.25705867334322,-5.864159490931041,5.283130471033724
1744787282094,309.0,220.5,237.0,214.0,87,7,-58,-10,0,-4.25705867334322,-5.864159490931041,5.283130471033724
1744787282118,305.5,222.0,232.5,216.0,88,7,-59,-10,0,-4.809576319091271,-5.3658519669267335,5.468461788504298
1744787282118,305.5,222.0,232.5,216.0,88,7,-59,-10,0,-4.809576319091271,-5.3658519669267335,5.468461788504298
1744787282154,301.0,223.0,227.0,217.0,90,7,-60,-9,0,-5.270351259915479,-4.905566584584566,5.5151570862687045
1744787282154,301.0,223.0,227.0,217.0,90,7,-60,-9,0,-5.270351259915479,-4.905566584584566,5.5151570862687045
1744787282184,296.5,222.0,220.5,217.0,91,7,-62,-9,0,-5.465778084953108,-4.594357592658465,5.4779864102422255
1744787282184,296.5,222.0,220.5,217.0,91,7,-62,-9,0,-5.465778084953108,-4.594357592658465,5.4779864102422255
1744787282229,289.5,220.0,212.5,216.0,91,7,-63,-7,0,-5.62482678442019,-4.303957654391631,5.405311155157331
1744787282229,289.5,220.0,212.5,216.0,91,7,-63,-7,0,-5.62482678442019,-4.303957654391631,5.405311155157331
1744787282252,282.5,215.0,203.0,211.0,92,6,-64,-7,0,-5.574319328649967,-3.7230434794112206,5.466066281177081
1744787282252,282.5,215.0,203.0,211.0,92,6,-64,-7,0,-5.574319328649967,-3.7230434794112206,5.466066281177081
1744787282286,275.0,209.0,196.5,207.0,93,5,-62,-5,0,-5.5969006938474095,-3.1798881608138743,5.348177245356199
1744787282286,275.0,209.0,196.5,207.0,93,5,-62,-5,0,-5.5969006938474095,-3.1798881608138743,5.348177245356199
1744787282328,268.0,202.0,189.0,200.5,93,4,-62,-5,0,-5.7387586511035416,-2.1032775334960903,5.350712839749219
1744787282328,268.0,202.0,189.0,200.5,93,4,-62,-5,0,-5.7387586511035416,-2.1032775334960903,5.350712839749219
1744787282355,260.0,192.0,179.0,192.0,95,3,-63,-2,0,-5.668792932201722,-0.8028298034435117,5.292105869126162
1744787282355,260.0,192.0,179.0,192.0,95,3,-63,-2,0,-5.668792932201722,-0.8028298034435117,5.292105869126162
1744787282391,251.0,183.0,171.0,183.5,95,2,-61,-1,0,-5.34697157112339,0.24863969953815257,5.055952142259408
1744787282391,251.0,183.0,171.0,183.5,95,2,-61,-1,0,-5.34697157112339,0.24863969953815257,5.055952142259408
1744787282423,243.0,174.0,161.5,174.5,97,2,-63,-1,0,-5.345673965279911,1.3702859826758633,4.831112159366553
1744787282423,243.0,174.0,161.5,174.5,97,2,-63,-1,0,-5.345673965279911,1.3702859826758633,4.831112159366553
1744787282470,233.0,164.5,153.0,166.5,96,-1,-63,-1,0,-5.4468487663114615,1.8924153951139822,4.413644239576144
1744787282470,233.0,164.5,153.0,166.5,96,-1,-63,-1,0,-5.4468487663114615,1.8924153951139822,4.413644239576144
1744787282494,226.5,156.5,144.0,158.5,98,-1,-65,-2,0,-5.70465667156024,2.147086012557727,4.048933886759866
1744787282494,226.5,156.5,144.0,158.5,98,-1,-65,-2,0,-5.70465667156024,2.147086012557727,4.048933886759866
1744787282532,218.5,149.5,137.5,152.0,96,-3,-65,-2,0,-5.724307269096393,2.3153307552711624,3.4856604606432695
1744787282532,218.5,149.5,137.5,152.0,96,-3,-65,-2,0,-5.724307269096393,2.3153307552711624,3.4856604606432695
1744787282560,212.0,144.5,132.0,147.0,96,-2,-64,-1,0,-5.498594946942781,2.3913424450700624,2.8996317059246266
1744787282560,212.0,144.5,132.0,147.0,96,-2,-64,-1,0,-5.498594946942781,2.3913424450700624,2.8996317059246266
1744787282590,208.0,141.0,127.5,144.0,94,-3,-65,-1,0,-5.2866310771783205,1.739720554509585,2.0548913565361113
1744787282590,208.0,141.0,127.5,144.0,94,-3,-65,-1,0,-5.2866310771783205,1.739720554509585,2.0548913565361113
1744787282629,205.0,139.5,125.0,141.5,93,-4,-65,-2,0,-5.310184847269305,0.6908588839651983,1.1394430397370718
1744787282629,205.0,139.5,125.0,141.5,93,-4,-65,-2,0,-5.310184847269305,0.6908588839651983,1.1394430397370718
1744787282659,202.0,138.5,122.5,141.5,93,-4,-65,-2,0,-5.372654211702333,-0.49967266193694826,0.14586140690696237
1744787282659,202.0,138.5,122.5,141.5,93,-4,-65,-2,0,-5.372654211702333,-0.49967266193694826,0.14586140690696237
1744787282697,200.5,137.5,120.5,141.5,93,-5,-65,-1,0,-5.769101681784683,-1.5466994994543164,-0.8277471117758988
